video_id,title,published_at,channel_id,channel_title,duration_seconds,is_short,views,likes,comments,thumbnail_url,video_url,transcript,engagement_rate,score,rank,content_type,type_rank
ZFoNBxpXen4,"Survive 30 Days Trapped In The Sky, Win $250,000",20251220,@MrBeast,MrBeast,2245,False,181117546,2901137,109000,https://i.ytimg.com/vi_webp/ZFoNBxpXen4/maxresdefault.webp,https://www.youtube.com/watch?v=ZFoNBxpXen4,,0.01661979784112137,0.31491491052493775,11,Video,8
pzBi1nwDn8U,"Survive 100 Days Trapped In A Private Jet, Keep It",20250719,@MrBeast,MrBeast,1983,False,142301058,3467766,46000,https://i.ytimg.com/vi_webp/pzBi1nwDn8U/maxresdefault.webp,https://www.youtube.com/watch?v=pzBi1nwDn8U,,0.024692479798709577,0.31087813348037574,12,Video,9
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",20250816,@MrBeast,MrBeast,2375,False,154979098,3127618,43000,https://i.ytimg.com/vi_webp/TDv56whosPQ/maxresdefault.webp,https://www.youtube.com/watch?v=TDv56whosPQ,,0.02045835884268729,0.2988578273861414,13,Video,10
zRtGL0-5rg4,"Last To Leave Grocery Store, Wins $250,000",20260418,@MrBeast,MrBeast,2577,False,122444396,2840916,157000,https://i.ytimg.com/vi_webp/zRtGL0-5rg4/maxresdefault.webp,https://www.youtube.com/watch?v=zRtGL0-5rg4,,0.024483897164227917,0.29574770046214655,14,Video,11
pAnGwRiQ4-4,"$1 vs $1,000,000,000 Futuristic Tech!",20260124,@MrBeast,MrBeast,1383,False,137819721,3010796,88000,https://i.ytimg.com/vi_webp/pAnGwRiQ4-4/maxresdefault.webp,https://www.youtube.com/watch?v=pAnGwRiQ4-4,,0.02248441643558399,0.2952914573591572,15,Video,12
_AbFXuGDRTs,"$1 vs $1,000,000,000 Nuclear Bunker!",20250830,@MrBeast,MrBeast,1037,False,166982210,2938751,38000,https://i.ytimg.com/vi_webp/_AbFXuGDRTs/maxresdefault.webp,https://www.youtube.com/watch?v=_AbFXuGDRTs,,0.017826755317228105,0.29443164705194885,16,Video,13
oBXSvS2QKxU,100 Kids Vs World's Strongest Man!,20251011,@MrBeast,MrBeast,1640,False,169974180,2842795,52000,https://i.ytimg.com/vi_webp/oBXSvS2QKxU/maxresdefault.webp,https://www.youtube.com/watch?v=oBXSvS2QKxU,,0.017030792559199287,0.29432259682860995,17,Video,14
JFtlf8RoPZY,Trapped On An Island Until I Build A Boat,20260321,@MrBeast,MrBeast,1813,False,118579686,2659552,113000,https://i.ytimg.com/vi_webp/JFtlf8RoPZY/maxresdefault.webp,https://www.youtube.com/watch?v=JFtlf8RoPZY,,0.023381340375618804,0.275523556722035,18,Video,15
QJI0an6irrA,"30 Celebrities Fight For $1,000,000!",20260107,@MrBeast,MrBeast,2499,False,122642758,2608431,118000,https://i.ytimg.com/vi_webp/QJI0an6irrA/maxresdefault.webp,https://www.youtube.com/watch?v=QJI0an6irrA,,0.02223067260114943,0.27539857430357023,19,Video,16
DXVHmGoCTco,"50 Streamers Fight for $1,000,000",20260404,@MrBeast,MrBeast,2971,False,101922818,2495102,166000,https://i.ytimg.com/vi_webp/DXVHmGoCTco/maxresdefault.webp,https://www.youtube.com/watch?v=DXVHmGoCTco,,0.026108991609710006,0.27335312784391985,20,Video,17
AoN1K4c7VKE,"Survive 30 Days Stranded With Your Ex, Win $250,000",20260307,@MrBeast,MrBeast,1803,False,119189745,2358944,147000,https://i.ytimg.com/vi_webp/AoN1K4c7VKE/maxresdefault.webp,https://www.youtube.com/watch?v=AoN1K4c7VKE,,0.02102482893977162,0.26741882014511686,21,Video,18
5OLs1GWB4OA,I Built 10 Schools Around The World,20260221,@MrBeast,MrBeast,964,False,62166726,2301951,94000,https://i.ytimg.com/vi_webp/5OLs1GWB4OA/maxresdefault.webp,https://www.youtube.com/watch?v=5OLs1GWB4OA,,0.038540729971850214,0.2460164540725706,22,Video,19
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",20250801,@MrBeast,MrBeast,620,False,108543501,2408202,46000,https://i.ytimg.com/vi_webp/Z4hVGCWH1Kc/maxresdefault.webp,https://www.youtube.com/watch?v=Z4hVGCWH1Kc,,0.022610308101265318,0.24438997861415807,23,Video,20
zo7i8VTpfNM,"How Much Would You Risk For $500,000?",20250927,@MrBeast,MrBeast,1525,False,130402160,2263509,31000,https://i.ytimg.com/vi_webp/zo7i8VTpfNM/maxresdefault.webp,https://www.youtube.com/watch?v=zo7i8VTpfNM,,0.017595636452647716,0.24221573180846168,24,Video,21
8bMh8azh3CY,100 Pilots Fight For A Private Jet,20251206,@MrBeast,MrBeast,1725,False,144642221,1920980,73000,https://i.ytimg.com/vi_webp/8bMh8azh3CY/maxresdefault.webp,https://www.youtube.com/watch?v=8bMh8azh3CY,,0.013785601370155953,0.2409759099169861,25,Video,22
Ah_uuTwGOYU,World's Strongest Man Vs Robot,20251122,@MrBeast,MrBeast,1103,False,123644249,2061302,67000,https://i.ytimg.com/vi_webp/Ah_uuTwGOYU/maxresdefault.webp,https://www.youtube.com/watch?v=Ah_uuTwGOYU,,0.01721310952359782,0.23658192023774877,26,Video,23
3RmOvxilbPM,100 People Vs World’s Biggest Trap!,20251108,@MrBeast,MrBeast,1842,False,115002417,1955549,84000,https://i.ytimg.com/vi_webp/3RmOvxilbPM/maxresdefault.webp,https://www.youtube.com/watch?v=3RmOvxilbPM,,0.017734835955665176,0.23101933403209907,27,Video,24
c9VS_cgInT4,"Subscribe, I’ll Double Your Bank Account",20260228,@MrBeast,MrBeast,30,True,200854573,2217473,21000,https://i.ytimg.com/vi_webp/c9VS_cgInT4/maxresdefault.webp,https://www.youtube.com/watch?v=c9VS_cgInT4,,0.011144745009116622,0.2256073997988256,28,Short,4
9WEQts7b8Pw,"Ages 1 - 100 Race For $250,000!",20260207,@MrBeast,MrBeast,1411,False,105967429,1650684,84000,https://i.ytimg.com/vi_webp/9WEQts7b8Pw/maxresdefault.webp,https://www.youtube.com/watch?v=9WEQts7b8Pw,,0.01636997345665525,0.21101851553507883,29,Video,25
purAsH7pXTQ,"5 Strangers Split $100,000",20260313,@MrBeast,MrBeast,64,False,56688526,1648390,18000,https://i.ytimg.com/vi_webp/purAsH7pXTQ/maxresdefault.webp,https://www.youtube.com/watch?v=purAsH7pXTQ,,0.029395542935796215,0.1865319611525167,30,Video,26
